Most important legitimate n_grams
791. lif - freq: 44
792. m_m - freq: 44
793. nk. - freq: 44
794. o-s - freq: 44
795. o.u - freq: 44
796. omm - freq: 44
797. rts - freq: 44
798. t-c - freq: 44
799. t-s - freq: 44
800. ts. - freq: 44
801. uti - freq: 44
802. /.v - freq: 43
803. /ac - freq: 43
804. 10/ - freq: 43
805. 100 - freq: 43
806. bla - freq: 43
807. bus - freq: 43
808. c.c - freq: 43
809. cor - freq: 43
810. e-i - freq: 43
811. ics - freq: 43
812. met - freq: 43
813. nne - freq: 43
814. rld - freq: 43
815. rte - freq: 43
816. s-b - freq: 43
817. sen - freq: 43
818. ted - freq: 43
819. vis - freq: 43
820. %e5 - freq: 42
821. -bi - freq: 42
822. -ga - freq: 42
823. -si - freq: 42
824. -wo - freq: 42
825. .sa - freq: 42
826. 3%d - freq: 42
827. af% - freq: 42
828. b3% - freq: 42
829. b4% - freq: 42
830. cts - freq: 42
831. e-v - freq: 42
832. e5% - freq: 42
833. ery - freq: 42
834. fea - freq: 42
835. goo - freq: 42
836. in. - freq: 42
837. las - freq: 42
838. loa - freq: 42
839. na- - freq: 42
840. nit - freq: 42
841. ogi - freq: 42
842. ono - freq: 42
843. ora - freq: 42
844. ral - freq: 42
845. tr- - freq: 42
846. ung - freq: 42
847. ura - freq: 42
848. wat - freq: 42
849. %b3 - freq: 41
850. -is - freq: 41
851. -lo - freq: 41
852. -na - freq: 41
853. /%e - freq: 41
854. 11- - freq: 41
855. 8bt - freq: 41
856. bt% - freq: 41
857. det - freq: 41
858. e%b - freq: 41
859. epa - freq: 41
860. ero - freq: 41
861. ger - freq: 41
862. nli - freq: 41
863. o.i - freq: 41
864. p.c - freq: 41
865. pay - freq: 41
866. rai - freq: 41
867. s-o - freq: 41
868. t%e - freq: 41
869. -en - freq: 40
870. .it - freq: 40
871. /.u - freq: 40
872. /.z - freq: 40
873. 7-% - freq: 40
874. ake - freq: 40
875. ami - freq: 40
876. avi - freq: 40
877. b0% - freq: 40
878. bar - freq: 40
879. bre - freq: 40
880. can - freq: 40
881. cen - freq: 40
882. d-c - freq: 40
883. eco - freq: 40
884. get - freq: 40
885. gor - freq: 40
886. ild - freq: 40
887. ise - freq: 40
888. lie - freq: 40
889. mag - freq: 40
890. n-d - freq: 40
891. nfo - freq: 40
892. oba - freq: 40
893. oni - freq: 40
894. ors - freq: 40
895. rep - freq: 40
896. ret - freq: 40
897. rke - freq: 40
898. s/c - freq: 40
899. sel - freq: 40
900. sma - freq: 40
901. sse - freq: 40
902. tiv - freq: 40
903. tle - freq: 40
